Year,Gross Profit (Million)
2009,5449.7
2010,6290.9
2011,6784.9
2012,7463.5
2013,8484.5
2014,9589.0
2015,11375.2
2016,12806.9
2017,15321.0
2018,16788.8
2019,17981.7
2020,15823.1
2021,20321.9
2022,21932.9
