Year,Sugar prices per pound
2001,$0.08 
2002,$0.06 
2003,$0.07 
2004,$0.07 
2005,$0.10 
2006,$0.15 
2007,$0.10 
2008,$0.12 
2009,$0.18 
2010,$0.22 
2011,$0.27 
2012,$0.22 
2013,$0.17 
2014,$0.16 
2015,$0.13 
2016,$0.18 
2017,$0.16 
2018,$0.12 
2019,$0.12 
2020,$0.13 
2021,$0.18 
2022,$0.19 
2023,$0.21 
